date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:08	103111/103111	---M--	200	added ('OK')	image/jpeg	etag:%22192c7-5747106e9110a%22	http://innovationplans.com/idesign/coco2/img/portfolio/6.jpg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/portfolio/6.jpg	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:11	50159/50159	---M--	200	added ('OK')	image/jpeg	etag:%22c3ef-5747107a7c4ed%22	http://innovationplans.com/idesign/coco2/img/team/2.jpg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/team/2.jpg	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:12	1888/1888	---M--	200	added ('OK')	image/png	etag:%22760-57471037d6ad2%22	http://innovationplans.com/idesign/coco2/img/quot.png	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/quot.png	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:15	41620/41620	---M--	200	added ('OK')	image/jpeg	etag:%22a294-5747107c69b56%22	http://innovationplans.com/idesign/coco2/img/team/4.jpg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/team/4.jpg	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:18	71430/71430	---M--	200	added ('OK')	image/jpeg	etag:%2211706-5747107a50236%22	http://innovationplans.com/idesign/coco2/img/team/3.jpg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/team/3.jpg	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:20	46559/46559	---M--	200	added ('OK')	image/jpeg	etag:%22b5df-5747105aff99b%22	http://innovationplans.com/idesign/coco2/img/clients/1.jpg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/clients/1.jpg	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:24	50159/50159	---M--	200	added ('OK')	image/jpeg	etag:%22c3ef-5747105b0f35d%22	http://innovationplans.com/idesign/coco2/img/clients/2.jpg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/clients/2.jpg	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:27	41620/41620	---M--	200	added ('OK')	image/jpeg	etag:%22a294-5747105c64c1e%22	http://innovationplans.com/idesign/coco2/img/clients/4.jpg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/clients/4.jpg	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:30	71430/71430	---M--	200	added ('OK')	image/jpeg	etag:%2211706-5747105cd31b1%22	http://innovationplans.com/idesign/coco2/img/clients/3.jpg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/clients/3.jpg	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:30	140104/140104	---M--	200	added ('OK')	image/jpeg	etag:%2222348-57471034fd307%22	http://innovationplans.com/idesign/coco2/img/bg4.jpg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/bg4.jpg	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:36	77962/77962	---M--	200	added ('OK')	image/jpeg	etag:%221308a-57471056d7611%22	http://innovationplans.com/idesign/coco2/img/blog/1.jpg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/blog/1.jpg	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:37	86341/86341	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215145-5747103e77b09%22	http://innovationplans.com/idesign/coco2/js/jquery-3.0.0.min.js	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/js/jquery-3.0.0.min.js	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:38	7083/7083	---M-Z	200	added ('OK')	application/x-javascript	etag:%221bab-5747103fb688a%22	http://innovationplans.com/idesign/coco2/js/jquery-migrate-3.0.0.min.js	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/js/jquery-migrate-3.0.0.min.js	(from http://innovationplans.com/idesign/coco2/colorful.html)
